Path,Content Type,Full URL
/career-skills-and-training,answer,https://www.gov.uk/career-skills-and-training
/child-benefit-move-to-uk,answer,https://www.gov.uk/child-benefit-move-to-uk
/child-benefit-complaints,answer,https://www.gov.uk/child-benefit-complaints
/repay-child-benefit-overpayments,answer,https://www.gov.uk/repay-child-benefit-overpayments
/child-benefit-child-lives-with-someone-else,answer,https://www.gov.uk/child-benefit-child-lives-with-someone-else
/giving-staff-time-off-for-magistrate-duty,answer,https://www.gov.uk/giving-staff-time-off-for-magistrate-duty
/healthy-start,answer,https://www.gov.uk/healthy-start
/working-when-pregnant-your-rights,answer,https://www.gov.uk/working-when-pregnant-your-rights
/employee-rights-when-on-leave,answer,https://www.gov.uk/employee-rights-when-on-leave
/employers-liability-insurance,answer,https://www.gov.uk/employers-liability-insurance
/payroll-software,answer,https://www.gov.uk/payroll-software
/personal-data-my-employer-can-keep-about-me,answer,https://www.gov.uk/personal-data-my-employer-can-keep-about-me
/reasonable-adjustments-for-disabled-workers,answer,https://www.gov.uk/reasonable-adjustments-for-disabled-workers
/improve-english-maths-it-skills,answer,https://www.gov.uk/improve-english-maths-it-skills
/apply-apprenticeship,answer,https://www.gov.uk/apply-apprenticeship
/education-maintenance-allowance-ema,answer,https://www.gov.uk/education-maintenance-allowance-ema
/complain-further-education-apprenticeship,answer,https://www.gov.uk/complain-further-education-apprenticeship
/career-development-loans,answer,https://www.gov.uk/career-development-loans
/benefits-calculators,answer,https://www.gov.uk/benefits-calculators
/changes-affect-tax-credits,answer,https://www.gov.uk/changes-affect-tax-credits
/repay-child-benefit-overpayments,answer,https://www.gov.uk/repay-child-benefit-overpayments
/complain-to-dfe,answer,https://www.gov.uk/complain-to-dfe
/report-teacher-misconduct,answer,https://www.gov.uk/report-teacher-misconduct
/contact-dfe,answer,https://www.gov.uk/contact-dfe
/child-benefit-abroad,answer,https://www.gov.uk/child-benefit-abroad
/school-meals-food-standards,answer,https://www.gov.uk/school-meals-food-standards
/employment-rights-for-interns,answer,https://www.gov.uk/employment-rights-for-interns
/national-minimum-wage-rates,answer,https://www.gov.uk/national-minimum-wage-rates
/grant-bursary-adult-learners,answer,https://www.gov.uk/grant-bursary-adult-learners
/mature-student-university-funding,answer,https://www.gov.uk/mature-student-university-funding
/careers-helpline-for-teenagers,answer,https://www.gov.uk/careers-helpline-for-teenagers
/university-clearing-through-ucas,answer,https://www.gov.uk/university-clearing-through-ucas
/know-when-you-can-leave-school,answer,https://www.gov.uk/know-when-you-can-leave-school
/payment-exception-service,answer,https://www.gov.uk/payment-exception-service
/become-appointee-for-someone-claiming-benefits,answer,https://www.gov.uk/become-appointee-for-someone-claiming-benefits
/child-benefit-for-children-in-hospital-or-care,answer,https://www.gov.uk/child-benefit-for-children-in-hospital-or-care
/complain-to-dfe,answer,https://www.gov.uk/complain-to-dfe
/reasonable-adjustments-for-disabled-workers,answer,https://www.gov.uk/reasonable-adjustments-for-disabled-workers
/personal-data-my-employer-can-keep-about-me,answer,https://www.gov.uk/personal-data-my-employer-can-keep-about-me
/changes-affect-tax-credits,answer,https://www.gov.uk/changes-affect-tax-credits
/payroll-software,answer,https://www.gov.uk/payroll-software
/employers-liability-insurance,answer,https://www.gov.uk/employers-liability-insurance
/benefits-calculators,answer,https://www.gov.uk/benefits-calculators
/employee-rights-when-on-leave,answer,https://www.gov.uk/employee-rights-when-on-leave
/payment-exception-service,answer,https://www.gov.uk/payment-exception-service
/how-to-have-your-benefits-paid,answer,https://www.gov.uk/how-to-have-your-benefits-paid
/search-bankruptcy-insolvency-register,answer,https://www.gov.uk/search-bankruptcy-insolvency-register
/working-when-pregnant-your-rights,answer,https://www.gov.uk/working-when-pregnant-your-rights
/report-stalker,answer,https://www.gov.uk/report-stalker
/report-loan-shark,answer,https://www.gov.uk/report-loan-shark
/child-benefit-complaints,answer,https://www.gov.uk/child-benefit-complaints
/benefits-calculators,answer,https://www.gov.uk/benefits-calculators
/giving-staff-time-off-for-magistrate-duty,answer,https://www.gov.uk/giving-staff-time-off-for-magistrate-duty
/child-benefit-for-children-in-hospital-or-care,answer,https://www.gov.uk/child-benefit-for-children-in-hospital-or-care
/child-benefit-move-to-uk,answer,https://www.gov.uk/child-benefit-move-to-uk
/child-benefit-child-lives-with-someone-else,answer,https://www.gov.uk/child-benefit-child-lives-with-someone-else
/healthy-start,answer,https://www.gov.uk/healthy-start
/appoint-tax-agent,answer,https://www.gov.uk/appoint-tax-agent
/become-appointee-for-someone-claiming-benefits,answer,https://www.gov.uk/become-appointee-for-someone-claiming-benefits
/appoint-tax-agent,answer,https://www.gov.uk/appoint-tax-agent
